iter	Passed	Remaining
0	172	172562
1	199	99724
2	218	72697
3	236	58830
4	256	51117
5	274	45452
6	292	41483
7	310	38503
8	328	36168
9	347	34377
10	366	32929
11	386	31792
12	408	30979
13	429	30214
14	450	29555
15	471	29012
16	492	28468
17	509	27782
18	527	27221
19	545	26705
20	563	26247
21	581	25849
22	602	25611
23	627	25498
24	652	25434
25	679	25449
26	703	25336
27	728	25284
28	750	25125
29	772	24974
30	795	24868
31	820	24811
32	842	24688
33	868	24669
34	897	24735
35	920	24658
36	945	24603
37	968	24510
38	988	24347
39	1008	24200
40	1028	24049
41	1049	23930
42	1072	23859
43	1093	23761
44	1119	23758
45	1142	23687
46	1164	23614
47	1186	23536
48	1208	23455
49	1230	23383
50	1252	23298
51	1277	23291
52	1299	23223
53	1321	23156
54	1343	23076
55	1362	22970
56	1383	22884
57	1402	22776
58	1420	22662
59	1439	22557
60	1458	22448
61	1475	22328
62	1494	22233
63	1513	22142
64	1536	22096
65	1558	22051
66	1578	21984
67	1602	21958
68	1620	21860
69	1638	21762
70	1656	21676
71	1673	21568
72	1689	21457
73	1710	21404
74	1731	21358
75	1752	21307
76	1772	21251
77	1793	21202
78	1811	21118
79	1829	21038
80	1847	20957
81	1865	20881
82	1883	20803
83	1901	20736
84	1921	20684
85	1939	20616
86	1960	20568
87	1982	20542
88	2004	20513
89	2030	20527
90	2050	20485
91	2069	20423
92	2088	20366
93	2106	20300
94	2124	20238
95	2143	20184
96	2163	20141
97	2186	20124
98	2206	20083
99	2228	20052
100	2249	20024
101	2266	19957
102	2286	19911
103	2304	19854
104	2322	19794
105	2340	19738
106	2357	19674
107	2377	19634
108	2400	19624
109	2421	19592
110	2443	19571
111	2466	19553
112	2485	19512
113	2504	19462
114	2521	19402
115	2538	19346
116	2556	19291
117	2576	19254
118	2597	19229
119	2619	19210
120	2639	19172
121	2659	19140
122	2682	19125
123	2701	19083
124	2720	19046
125	2739	19002
126	2758	18961
127	2775	18904
128	2793	18861
129	2815	18840
130	2835	18807
131	2857	18788
132	2881	18784
133	2902	18758
134	2920	18713
135	2938	18670
136	2957	18629
137	2976	18590
138	2994	18549
139	3012	18505
140	3032	18475
141	3054	18454
142	3075	18429
143	3098	18417
144	3120	18401
145	3141	18377
146	3162	18349
147	3186	18343
148	3208	18324
149	3229	18302
150	3253	18292
151	3278	18289
152	3300	18273
153	3321	18246
154	3342	18221
155	3364	18201
156	3385	18175
157	3406	18154
158	3427	18127
159	3447	18100
160	3470	18084
161	3492	18067
162	3515	18050
163	3535	18023
164	3555	17992
165	3576	17968
166	3595	17934
167	3616	17910
168	3638	17891
169	3660	17870
170	3683	17859
171	3707	17847
172	3731	17838
173	3757	17835
174	3780	17820
175	3804	17811
176	3826	17791
177	3845	17757
178	3866	17734
179	3895	17745
180	3918	17728
181	3942	17720
182	3964	17700
183	3988	17686
184	4013	17680
185	4034	17657
186	4057	17638
187	4075	17601
188	4092	17562
189	4111	17528
190	4130	17494
191	4150	17466
192	4172	17445
193	4194	17425
194	4219	17417
195	4239	17391
196	4261	17369
197	4281	17341
198	4303	17321
199	4326	17306
200	4348	17285
201	4373	17275
202	4394	17253
203	4415	17230
204	4437	17208
205	4466	17215
206	4488	17196
207	4511	17176
208	4531	17151
209	4553	17128
210	4573	17101
211	4596	17085
212	4619	17067
213	4641	17047
214	4663	17028
215	4686	17009
216	4711	16999
217	4732	16974
218	4753	16951
219	4774	16929
220	4799	16919
221	4823	16904
222	4849	16897
223	4873	16884
224	4897	16870
225	4920	16850
226	4944	16836
227	4965	16814
228	4988	16794
229	5008	16766
230	5016	16701
231	5042	16690
232	5065	16674
233	5090	16664
234	5112	16642
235	5135	16624
236	5160	16614
237	5189	16615
238	5214	16604
239	5237	16584
240	5258	16560
241	5284	16552
242	5305	16527
243	5326	16503
244	5346	16477
245	5366	16448
246	5385	16419
247	5405	16390
248	5425	16362
249	5444	16333
250	5463	16302
251	5481	16269
252	5498	16234
253	5520	16212
254	5540	16186
255	5562	16164
256	5583	16140
257	5603	16116
258	5623	16087
259	5641	16056
260	5659	16025
261	5678	15995
262	5696	15962
263	5715	15932
264	5734	15904
265	5754	15878
266	5774	15852
267	5795	15829
268	5813	15797
269	5834	15774
270	5852	15742
271	5870	15711
272	5887	15678
273	5905	15647
274	5924	15618
275	5941	15585
276	5960	15558
277	5981	15535
278	6002	15512
279	6023	15489
280	6044	15465
281	6064	15439
282	6085	15417
283	6109	15403
284	6130	15381
285	6155	15368
286	6175	15342
287	6197	15320
288	6221	15305
289	6246	15294
290	6269	15276
291	6292	15257
292	6313	15233
293	6333	15208
294	6352	15181
295	6371	15153
296	6390	15126
297	6409	15098
298	6469	15166
299	6505	15180
300	6550	15212
301	6621	15304
302	6704	15422
303	6824	15623
304	6920	15770
305	7000	15876
306	7047	15908
307	7090	15929
308	7125	15933
309	7155	15927
310	7185	15918
311	7214	15909
312	7248	15908
313	7276	15895
314	7299	15873
315	7327	15860
316	7350	15836
317	7374	15816
318	7394	15785
319	7414	15755
320	7433	15724
321	7456	15700
322	7481	15681
323	7510	15670
324	7537	15654
325	7560	15631
326	7583	15606
327	7607	15587
328	7628	15557
329	7648	15529
330	7673	15509
331	7698	15490
332	7723	15469
333	7749	15452
334	7774	15433
335	7798	15411
336	7824	15394
337	7848	15372
338	7871	15348
339	7893	15323
340	7918	15302
341	7941	15278
342	7968	15262
343	7995	15246
344	8022	15231
345	8055	15226
346	8084	15214
347	8113	15201
348	8141	15186
349	8162	15159
350	8188	15140
351	8211	15116
352	8237	15097
353	8258	15070
354	8284	15051
355	8310	15032
356	8336	15014
357	8357	14987
358	8381	14964
359	8404	14940
360	8426	14915
361	8450	14893
362	8474	14870
363	8493	14840
364	8513	14811
365	8532	14779
366	8549	14746
367	8568	14715
368	8586	14683
369	8605	14652
370	8627	14626
371	8648	14599
372	8669	14572
373	8688	14542
374	8708	14514
375	8727	14484
376	8746	14454
377	8765	14423
378	8784	14393
379	8802	14361
380	8823	14335
381	8844	14309
382	8867	14284
383	8886	14255
384	8910	14232
385	8932	14208
386	8957	14188
387	8982	14168
388	9007	14148
389	9030	14125
390	9051	14098
391	9073	14073
392	9099	14054
393	9122	14031
394	9147	14011
395	9169	13985
396	9191	13961
397	9215	13938
398	9239	13916
399	9260	13891
400	9282	13866
401	9302	13838
402	9322	13809
403	9341	13781
404	9361	13753
405	9383	13728
406	9402	13699
407	9420	13669
408	9439	13639
409	9457	13609
410	9476	13580
411	9494	13549
412	9514	13522
413	9535	13497
414	9558	13473
415	9580	13450
416	9605	13429
417	9627	13405
418	9650	13381
419	9672	13356
420	9692	13329
421	9714	13305
422	9734	13278
423	9757	13255
424	9780	13232
425	9804	13210
426	9828	13189
427	9853	13168
428	9872	13140
429	9891	13111
430	9911	13085
431	9931	13057
432	9952	13032
433	9972	13006
434	9993	12979
435	10014	12954
436	10034	12927
437	10055	12901
438	10075	12875
439	10095	12849
440	10117	12824
441	10134	12794
442	10153	12765
443	10174	12740
444	10195	12715
445	10217	12691
446	10247	12678
447	10282	12669
448	10315	12658
449	10346	12646
450	10382	12638
451	10420	12634
452	10457	12627
453	10490	12616
454	10523	12604
455	10554	12590
456	10583	12574
457	10613	12559
458	10645	12547
459	10678	12536
460	10757	12578
461	10803	12580
462	10850	12584
463	10890	12580
464	10920	12564
465	10947	12545
466	10979	12531
467	11007	12513
468	11036	12495
469	11062	12474
470	11088	12453
471	11115	12434
472	11143	12415
473	11166	12391
474	11189	12367
475	11211	12341
476	11231	12314
477	11254	12290
478	11281	12270
479	11306	12248
480	11332	12228
481	11363	12211
482	11389	12191
483	11414	12169
