iter	Passed	Remaining
0	158	158197
1	189	94577
2	219	73106
3	260	64905
4	296	59017
5	336	55760
6	373	52963
7	407	50589
8	447	49230
9	472	46786
10	500	44975
11	528	43502
12	557	42343
13	591	41630
14	616	40461
15	644	39637
16	668	38682
17	694	37912
18	726	37499
19	762	37347
20	793	36994
21	832	37008
22	866	36790
23	896	36448
24	924	36058
25	952	35671
26	979	35282
27	1007	34966
28	1043	34923
29	1071	34636
30	1096	34288
31	1120	33905
32	1142	33487
33	1168	33189
34	1194	32929
35	1222	32723
36	1251	32573
37	1277	32339
38	1307	32222
39	1336	32075
40	1363	31899
41	1387	31652
42	1411	31410
43	1433	31155
44	1468	31156
45	1499	31090
46	1530	31033
47	1557	30894
48	1580	30676
49	1603	30466
50	1629	30313
51	1650	30083
52	1678	29997
53	1709	29939
54	1734	29809
55	1758	29651
56	1780	29455
57	1808	29372
58	1833	29244
59	1852	29019
60	1877	28899
61	1898	28723
62	1926	28652
63	1950	28519
64	1974	28396
65	1995	28245
66	2017	28090
67	2041	27976
